Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"BB Balana, T Yatich, M Mäkelä","A conjoint analysis of landholder preferences for reward-based land-management contracts in Kapingazi watershed, Eastern Mount Kenya",2011,"Journal of environmental management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301479711001976","https://scholar.google.com/scholar?cites=12619171942521025929&as_sdt=2005&sciodt=0,5&hl=en",838,"2025-02-25 15:34:16","","","","",,,,,27,1.93,9,3,14,"… forest cover, land-use changes and unsustainable agricultural practices have caused surface run-off and soil … estimates are easily interpreted as the logarithm of the odds ratios. For a …","https://www.researchgate.net/profile/Thomas-Yatich/publication/51245204_A_conjoint_analysis_of_landholder_preferences_for_reward-based_land-management_contracts_in_Kapingazi_watershed_Eastern_Mount_Kenya/links/5cc7d3484585156cd7bbc167/A-conjoint-analysis-of-landholder-preferences-for-reward-based-land-management-contracts-in-Kapingazi-watershed-Eastern-Mount-Kenya.pdf","https://scholar.google.com/scholar?q=related:ibWKwQVOIK8J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"DUCHA NGUYEN","A COUPLED HYDROLOGICAL-GEOTECHNICAL FRAMEWORK FOR FORECASTING SHALLOW LANDSLIDE HAZARD",2019,"","repository.kulib.kyoto-u.ac.jp","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/245320/1/ykogk04655.pdf","",710,"2025-02-25 15:34:16","PDF","","","",,,,,0,0.00,0,1,6,"… For simulating landslide hazard by the LS-RAPID model, the soil depth map of the sliding … surveying, soil drilling (at 12 positions), and water wells examination. A soil sample was taken …","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/245320/1/ykogk04655.pdf","https://scholar.google.com/scholar?q=related:DVdJBKu_9L4J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
4,"BD Spong","A decision framework for the implementation of appropriate logging practices in developing countries: case study--Ethiopia",2007,"","search.proquest.com","https://search.proquest.com/openview/df09c5033381b2b9109b8121bd441e1b/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=6519137261062156984&as_sdt=2005&sciodt=0,5&hl=en",300,"2025-02-25 15:34:16","BOOK","","","",,,,,4,0.22,4,1,18,"… the impact on forest stands and soils, usually in individual tree selection cutting” (Bull et al. … even minor rainfall events, large ruts fill with mud, typically shutting down any movement of …","https://ir.library.oregonstate.edu/dspace/bitstream/1957/6357/1/Final%20Draft%2007-06-07.pdf","https://scholar.google.com/scholar?q=related:uHKfj8ygeFoJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"S Choden","A Geotechnical Asset Management Framework for the Department of Roads in Bhutan",2023,"","era.library.ualberta.ca","https://era.library.ualberta.ca/items/ca49c00b-fa34-4f67-aebb-a789ca284840","",575,"2025-02-25 15:34:16","","","","",,,,,0,0.00,0,1,2,"… of remote sensing to geohazards emphasizes the methodology, applicability and pros and cons of some of the emerging remote sensing … for detection of ground displacements, which …","https://era.library.ualberta.ca/items/ca49c00b-fa34-4f67-aebb-a789ca284840/download/f6313e87-4270-41b7-b354-b8433753e394","https://scholar.google.com/scholar?q=related:bGnjGhYqzhgJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
36,"S Mohtashami, I Bergkvist, B Löfgren…","A GIS approach to analyzing off-road transportation: a case study in Sweden",2012,"… and Application of Forestry …","hrcak.srce.hr","https://hrcak.srce.hr/clanak/172742","https://scholar.google.com/scholar?cites=5383821251052230019&as_sdt=2005&sciodt=0,5&hl=en",99,"2025-02-25 15:34:16","","","","",,,,,36,2.77,9,4,13,"… cutting and soil scarification (Ring et al. 2008). Logging tracks often induce similar disturbances to the soil … scanning of the area using Foran Remote Sensing AB. The former layer was …","https://hrcak.srce.hr/file/172742","https://scholar.google.com/scholar?q=related:g9UqM-cst0oJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
3,"RW Davis","A GIS-based habitat model predicting elk nutritional condition in the Pacific Northwest",2005,"","search.proquest.com","https://search.proquest.com/openview/a337f64d17a6c293c09b06a91ad62c77/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=5693760708484321054&as_sdt=2005&sciodt=0,5&hl=en",383,"2025-02-25 15:34:16","BOOK","","","",,,,,3,0.15,3,1,20,"… GIS and remote sensing technologies have become … forests and often contain several potentially useful forest … as well as geophysical attributes (ie elevation, soil type, slope, aspect, etc.)…","","https://scholar.google.com/scholar?q=related:Hs9IkTJNBE8J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"Q Li","A GIS-based landscape analysis wetland function model for wetland restoration and mitigation banking",2003,"","search.proquest.com","https://search.proquest.com/openview/3c56fedde321e44218aedfd3343b6cdf/1?pq-origsite=gscholar&cbl=18750&diss=y","",850,"2025-02-25 15:34:16","BOOK","","","",,,,,0,0.00,0,1,22,"… Soil Conservation Districts and are required for forestry activities that disturb greater than 5,000 square feet of land. The best management practices for forestry … to control soil loss and …","https://scholars.indianastate.edu/cgi/viewcontent.cgi?article=2820&context=etds","https://scholar.google.com/scholar?q=related:cNv4fmhaF_8J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
3,"Y Ma, X Song, Z Li, P Tao, Q Cao…","A GPR segregation detection method on visual textures and dielectric properties",2023,"… and Remote Sensing","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10184075/","https://scholar.google.com/scholar?cites=14668214241928157787&as_sdt=2005&sciodt=0,5&hl=en",45,"2025-02-25 15:34:16","","","","",,,,,3,1.50,1,6,2,"… subsurface detection technology, Ground Penetrating Radar (… Generally, the cut cost of t-link takes the form of negative log-… clouds of forests,” IEEE Trans. Geosci. Remote Sens., vol. …","https://scholar.google.com/scholar?output=instlink&q=info:Wxp0MyP3j8sJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=7246386470476231099&oi=lle","https://scholar.google.com/scholar?q=related:Wxp0MyP3j8sJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
6,"GD DelGiudice","A HABITAT ANALYSIS OF SPRING-SUMMER ELK RANGE ON THE APACHE-SITGREAVES NATIONAL FOREST, ARIZONA.",1982,"","search.proquest.com","https://search.proquest.com/openview/2042194cf586a750113bdce0086c6bb0/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=17815609702737256407&as_sdt=2005&sciodt=0,5&hl=en",691,"2025-02-25 15:34:16","BOOK","","","",,,,,6,0.14,6,1,43,"… Plant available soil moisture is the most direct factor affecting this … and intermediate cuts (Burbridge and Neff l976) . The … and logging (rut) roads (3 types) were inventoried and logged by …","https://repository.arizona.edu/bitstream/handle/10150/275019/azu_td_1318744_sip1_m.pdf?sequence=1","https://scholar.google.com/scholar?q=related:1x-oLKLCPfcJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
21,"A Hosseini, O Lindroos…","A holistic optimization framework for forest machine trail network design accounting for multiple objectives and machines",2019,"Canadian Journal of Forest …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjfr-2018-0258","https://scholar.google.com/scholar?cites=12275985098753980686&as_sdt=2005&sciodt=0,5&hl=en",65,"2025-02-25 15:34:16","","10.1139/cjfr-2018-0258","","",,,,,21,3.50,7,3,6,"… In Nordic cut-to-length (CTL) logging operations, the operator of … These logs are then sorted into separate piles on the ground. … Advances in remote sensing can thus provide valuable …","https://cdnsciencepub.com/doi/pdf/10.1139/cjfr-2018-0258","https://scholar.google.com/scholar?q=related:Djk4B2gPXaoJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"S Yousefi, SN Emami, M Nekoeimehr, O Rahmati…","A hot-spot analysis of forest roads based on soil erosion and sediment in Zagros forest lands, Iran",2023,"","researchsquare.com","https://www.researchsquare.com/article/rs-3150886/latest","",235,"2025-02-25 15:34:16","","","","",,,,,0,0.00,0,5,2,"… roughness change of rain-forest terrain following selective logging, Danum Valley, Sabah, … of mulching for reducing soil erosion in cut slope and ll slope of forest roads in hyrcanian …","https://www.researchsquare.com/article/rs-3150886/latest.pdf","https://scholar.google.com/scholar?q=related:q7-edpqpzcAJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
1,"S Yousefi, SN Emami, M Nekoeimehr, O Rahmati…","A hot-spot analysis of forest roads based on soil erosion and sediment production",2024,"Land","mdpi.com","https://www.mdpi.com/2073-445X/13/10/1583","https://scholar.google.com/scholar?cites=5610713525039995223&as_sdt=2005&sciodt=0,5&hl=en",205,"2025-02-25 15:34:16","HTML","","","",,,,,1,1.00,0,5,1,"… including soil … forest road networks on soil erosion and sedimentation in the context of the Zagros forestlands, Iran. This study aims to assess the soil erosion and sedimentation on forest …","https://www.mdpi.com/2073-445X/13/10/1583","https://scholar.google.com/scholar?q=related:Vxl9ZDlC3U0J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
7,"S Leverkus, SD Fuhlendorf, M Geertsema…","A landscape disturbance matrix for conserving biodiversity",2017,"Journal of Ecosystems …","jem-online.org","http://jem-online.org/forrex/index.php/jem/article/view/591","https://scholar.google.com/scholar?cites=1551309970124941836&as_sdt=2005&sciodt=0,5&hl=en",526,"2025-02-25 15:34:16","","","","",,,,,7,0.88,2,4,8,"… within cut blocks and burned habitat in mixedwood boreal forests. Canadian Journal of … Reconciling salvage logging of boreal forests with a natural-disturbance management model. …","https://jem-online.org/forrex/index.php/jem/article/download/591/510","https://scholar.google.com/scholar?q=related:DKrR2TJchxUJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"SM Tooker","A Landscape Illuminated: An Archaeological Investigation Into the Built Landscape of Split Rock Lighthouse",2023,"","search.proquest.com","https://search.proquest.com/openview/12febf8a5299afbf9a93e71a26444c05/1?pq-origsite=gscholar&cbl=18750&diss=y","",500,"2025-02-25 15:34:16","","","","",,,,,0,0.00,0,1,2,"… were added, and begin exploring where the soils may have come … and as a ground for tourists was also utilized in a myriad of … Cut-and-fill analysis is a tool to determine where soils/fill …","","https://scholar.google.com/scholar?q=related:4WoCokDxqpQJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
21,"B Fagan","A little history of archaeology",2018,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=TVBSDwAAQBAJ&oi=fnd&pg=PP1&dq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&ots=urA2lF6K6F&sig=_YcJoPfHi-j8KtaIU5EPxdVICSU","https://scholar.google.com/scholar?cites=11417412380645493208&as_sdt=2005&sciodt=0,5&hl=en",576,"2025-02-25 15:34:16","BOOK","","","",,,,,21,3.00,21,1,7,"… He even discovered the ruts left by chariot wheels in … on remote sensing, using lasers, satellite imagery and ground-… by cutting straight lines through the forest. This was the first plan …","","https://scholar.google.com/scholar?q=related:2ImFchHMcp4J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
4,"S Hard","A low-cost normalized difference vegetation index (NDVI) payload for CubeSats and unmanned aerial vehicles (UAVs)",2018,"","search.proquest.com","https://search.proquest.com/openview/81e14c51cd0f7c032ebf1dfdacf554e6/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=231775263597037041&as_sdt=2005&sciodt=0,5&hl=en",399,"2025-02-25 15:34:16","BOOK","","","",,,,,4,0.57,4,1,7,"… was used to analyze results from ground-based testing and flight … and history related to remote sensing NDVI and Cubesats. … A study done in 2012 employed a network of forest and …","https://researchrepository.wvu.edu/cgi/viewcontent.cgi?article=6802&context=etd","https://scholar.google.com/scholar?q=related:8YVszl9uNwMJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
469,"R Bischof, LE Loe, EL Meisingset…","A migratory northern ungulate in the pursuit of spring: jumping or surfing the green wave?",2012,"The American …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/667590","https://scholar.google.com/scholar?cites=7927552160658427946&as_sdt=2005&sciodt=0,5&hl=en",793,"2025-02-25 15:34:16","","10.1086/667590","","",,,,,469,36.08,117,4,13,"… are occupied by deciduous forest in the south, with more coniferous forest further north and … Our study was possible because of the availability of remote-sensing data on plant …","https://www.journals.uchicago.edu/doi/full/10.1086/667590","https://scholar.google.com/scholar?q=related:KhBtKrBSBG4J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
