DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1016/j.rse.2003.12.015,,,Comparison of AVIRIS and Landsat ETM+ detection capabilities for burn severity,,"Jan W. van Wagtendonk,Jan W. van Wagtendonk,Ralph Root,Ralph Root,Carl H. Key,Carl H. Key",Remote Sensing of Environment,2004
10.1080/10106049109354290,,,Mapping burns and natural reforestation using thematic Mapper data,"Abstract Remote sensing techniques are specially suitable to detect and to map areas affected by forest fires. In this work, Landsat 5 Thematic Mapper (TM) data has been used to study a number of forest fires that occurred in the province of Valencia (Spain) and to monitor the vegetation regeneration over burnt areas. A reference area (non‐burnt forest) was established to assess the change produced by fire. The radiance in the thermal band (10.4–12.5 μm) and the normalized difference in reflectance between near 1R (0.76–0.90 μm) and middle IR (2.08–2.35 μm) were the most suitable parameters to map burnt areas. This index can also be used for monitoring vegetation regeneration in burnt areas. About a month after the fire, the burns show temperatures of 5–6 °C higher than those found in the reference area, and the vegetation index shows negative values whereas the reference area values remain positive. The differences between the burns and the reference area for the vegetation index decrease with time as ve...","M. J. López García,M.J. López García,V. Caselles,Vicente Caselles",Geocarto International,1991
10.1016/j.rse.2008.10.011,,,GeoCBI: A modified version of the Composite Burn Index for the initial assessment of the short-term burn severity from remotely sensed data,,"Angela De Santis,Angela De Santis,Emilio Chuvieco,Emilio Chuvieco",Remote Sensing of Environment,2009
10.1080/19132220.2013.792155,,,Harvesting damage caused by thinning of Norway spruce in unfrozen soil,"Two harvester working methods and two types of forwarder equipment (tracks and chains) were compared with respect to harvester productivity, logging residue on strip roads, rut formation, and logging damage in the thinning of two Norway spruce stands in Southern Finland. In the normal harvester working method, trees removed further away from the strip roads were processed outside the strip roads. In the protective method, the harvester operator processed as many trees as possible on the strip road and turned some of the treetops parallel to the strip road. The protective harvester working method increased harvester time consumption by approximately 5%, but a higher proportion (86–92%) of the total logging residue potential was brought to the strip roads. The logging residue mass obtained to cover the strip roads was approximately 14–19 kg/m2. According to the recommendations for forestry practice in Finland, damaged trees should not exceed 4% of the number of the remaining trees, and ruts deeper than 10 c...","Matti Sirén,Matti Sirén,Jari Ala‐Ilomäki,Jari Ala-Ilomäki,Jari Ala-Ilomäki,Jari Ala-Ilomäki,Harri Mäkinen,Harri Mäkinen,Sami Lamminen,Sami Lamminen,Tuomas Mikkola,Tuomas Mikkola",International Journal of Forest Engineering,2013
10.1016/j.rse.2010.02.008,,,Mapping burn severity and burning efficiency in California using simulation models and Landsat imagery,,"Angela De Santis,Angela De Santis,Angela De Santis,Gregory P. Asner,Gregory P. Asner,P. J. Vaughan,Patrick J. Vaughan,David Knapp,David E. Knapp",Remote Sensing of Environment,2010
10.1016/j.rse.2010.05.029,,,The temporal dimension of differenced Normalized Burn Ratio (dNBR) fire/burn severity studies: the case of the large 2007 Peloponnese wildfires in Greece.,"Abstract   The temporal dimension of differenced Normalized Burn Ratio (dNBR) fire/burn severity studies was studied for the case of the large 2007 Peloponnese wildfires in Greece. Fire severity is defined as the degree of environmental change as measured immediately post-fire, whereas burn severity combines the direct fire impact and ecosystems responses. Geo Composite Burn Index (GeoCBI), two pre-/post-fire differenced Thematic Mapper (TM) dNBR assessments and a Moderate Resolution Imaging Spectroradiometer (MODIS) dNBR time series were used to analyze the temporal dimension. MODIS dNBR time series were calculated based on the difference between the NBR of the burned and control pixels, which were retrieved using time series similarity of a pre-fire year. The analysis incorporated the optimality statistic, which evaluates index performance based on displacements in the mid-infrared–near infrared bi-spectral space. Results showed a higher correlation between field and TM data early post-fire (R2=0.72) than one-year post-fire (R2=0.56). Additionally, mean dNBR (0.56 vs. 0.29), the dNBR standard deviation (0.29 vs. 0.19) and mean optimality (0.65 vs. 0.47) were clearly higher for the initial assessment than for the extended assessment. This is due to regenerative processes that obscured first-order fire effects impacting the suitability of the dNBR to assess burn severity in this case study. This demonstrates the importance of the lag timing, i.e. time since fire, of an assessment, especially in a quickly recovering Mediterranean ecosystem. The MODIS time series was used to study intra-annual changes in index performance. The seasonal timing of an assessment highly impacts what is actually measured. This seasonality affected both the greenness of herbaceous resprouters and the productivity of the control pixels, which is land cover specific. Appropriate seasonal timing of an assessment is therefore of paramount importance to anticipate false trends (e.g. caused by senescence). Although these findings are case study specific, it can be expected that similar temporal constraints affect assessments in other ecoregions. Therefore, within the limitations of available Landsat imagery, caution is recommended for the temporal dimension when assessing post-fire effects. This is crucial, especially for studies that aim to evaluate trends in fire/burn severity across space and time. Also, clarification in associated terminology is suggested.","Sander Veraverbeke,Sander Veraverbeke,Stef Lhermitte,Stef Lhermitte,Stefaan Lhermitte,Willem Verstraeten,Willem Verstraeten,Rudi Goossens,Rudi Goossens",Remote Sensing of Environment,2010
10.1016/j.foreco.2007.06.037,,,Effects of slash reinforcement of strip roads on rutting and soil compaction on a moist fine-grained soil,,"L. Eliasson,Lars Eliasson,Iwan Wästerlund,Iwan Wästerlund",Forest Ecology and Management,2007
10.14214/sf.366,,,Effects of forwarder tyre pressure on rut formation and soil compaction,"In Swedish forestry, final felling is usually done by a harvester and a forwarder. These machines are heavy and the risk for rutting and soil compaction can be considerable under unfavourable soil conditions. The aim of this study was to evaluate effects of forwarder tyre inflation pressure on rutting and soil compaction after final felling. Three levels of forwarder tyre pressure were studied, 300, 450 and 600 kPa, after 2 and 5 machine passages. The first passage was driven with a 19.7 Mg harvester, and the second to fifth passages with a fully loaded forwarder totalling 37.8 Mg. Rut depths were not significant affected by tyre pressures but increased significantly with the number of machine passages. Soil density was significantly increased by 0.075 Mg m(-3) by the harvester passage. Soil density increased significantly with increasing number of forwarder passages, and tyre pressure did not significantly influence this increase but the interaction between number of forwarder passages and tyre pressure was almost significant. Data suggest that density increases occur earlier in the 600 kPa treatment than in the other treatments. Only parts of an area harvested are trafficked in a normal harvesting operation. Outside the research area approximately 12.5 per cent of the area harvested was covered with ruts. On primary strip roads, which are heavily trafficked, soil compaction cannot be avoided by reducing the tyre pressure. On secondary strip roads, not passed more than once by the forwarder, a low forwarder tyre pressure may reduce soil compaction. Language: en","L. Eliasson,Lars Eliasson",Silva Fennica,2005
10.1109/lgrs.2005.858485,,,Remote sensing of fire severity: assessing the performance of the normalized burn ratio,"Several studies have used satellite data to map different levels of fire severity present within burned areas. Increasingly, fire severity has been estimated using a spectral index called the normalized burn ratio (NBR). This letter assesses the performance of the NBR against ideal requirements of a spectral index designed to measure fire severity. According to index theory, the NBR would be optimal for quantifying fire severity if the trajectory in spectral feature space caused by different levels of severity occurred perpendicular to the NBR isolines. We assess how well NBR meets this condition using reflectance data sensed before and shortly after fires in the South African savanna, Australian savanna, Russian Federation boreal forest, and South American tropical forest. Although previous studies report high correlation between fire severity measured in the field- and satellite-derived NBR, our results do not provide evidence that the performance of the NBR is optimal in describing fire severity shortly after fire occurrence. Spectral displacements due to burning occur in numerous directions relative to the NBR index isolines, suggesting that the NBR may not be primarily and consistently sensitive to fire severity. Findings suggest that the development of the next generation of methods to estimate fire severity remotely should incorporate knowledge of how fires of different severity displace the position of prefire vegetation in multispectral space.","David P. Roy,David P. Roy,Luigi Boschetti,Luigi Boschetti,Simon N. Trigg,Simon N. Trigg",IEEE Geoscience and Remote Sensing Letters,2006
10.3390/rs70810501,,,Performance of Burn-Severity Metrics and Classification in Oak Woodlands and Grasslands,"Burn severity metrics and classification have yet to be tested for many eastern U.S. deciduous vegetation types, but, if suitable, would be valuable for documenting and monitoring landscape-scale restoration projects that employ prescribed fire treatments. Here we present a performance analysis of the Composite Burn Index (CBI) and its relationship to spectral data (differenced Normalized Burn Ratio (dNBR) and its relative form (RdNBR)) across an oak woodland - grassland landscape in southwestern Oklahoma, USA. Correlation and regression analyses were used to compare CBI strata, assess models describing burn severity, and determine thresholds for burn severity classes. Confusion matrices were used to assess burn severity classification accuracy. Our findings suggest that dNBR and RdNBR, thresholded using total CBI, can produce an accurate burn severity map in oak woodlands, particularly from an initial assessment period. Lower accuracies occurred for burn severity classifications of grasslands and raises questions related to definitions and detection of burn severity for grasslands, particularly in transition to more densely treed structures such as savannas and woodlands.","Michael C. Stambaugh,Michael C. Stambaugh,Lyndia D. Hammer,Lyndia D. Hammer,Ralph D. Godfrey,Ralph Godfrey",Remote Sensing,2015
10.4996/fireecology.0202034,,,Ecological and Sampling Constraints on Defining Landscape Fire Severity,"Ecological definition and detection of fire severity are influenced by factors of spatial resolution and timing. Resolution determines the aggregation of effects within a sampling unit or pixel (alpha variation), hence limiting the discernible ecological responses, and controlling the spatial patchiness of responses distributed throughout a burn (beta variation). As resolution decreases, alpha variation increases, extracting beta variation and complexity from the spatial model of the whole burn. Seasonal timing impacts the quality of radiometric data in terms of transmittance, sun angle, and potential contrast between responses within burns. Detection sensitivity can degrade toward the end of many fire seasons when low sun angles, vegetation senescence, incomplete burning, hazy conditions, or snow are common. Thus, a need exists to supersede many rapid response applications when remote sensing conditions improve. Lag timing, or time since fire, notably shapes the ecological character of severity through first-order effects that only emerge with time after fire, including delayed survivorship and mortality. Survivorship diminishes the detected magnitude of severity, as burned vegetation remains viable and resprouts, though at first it may appear completely charred or consumed above ground. Conversely, delayed mortality increases the severity estimate when apparently healthy vegetation is in fact damaged by heat to the extent that it dies over time. Both responses depend on fire behavior and various species-specific adaptations to fire that are unique to the pre-fire composition of each burned area. Both responses can lead initially to either over- or underestimating severity. Based on such implications, three sampling intervals for short-term burn severity are identified; rapid, initial, and extended assessment, sampled within about two weeks, two months, and depending on the ecotype, from three months to one year after fire, respectively. Spatial and temporal conditions of sampling strategies constrain data quality and ecological information obtained about fire severity. Though commonly overlooked, such considerations determine the objectives and hypotheses that are appropriate for each application, and are especially important when building comparative studies or long-term reference databases on fire severity.","Carl H. Key,Carl H. Key",Fire Ecology,2006
10.3390/rs4020456,,,How Robust Are Burn Severity Indices When Applied in a New Region? Evaluation of Alternate Field-Based and Remote-Sensing Methods,"Remotely sensed indices of burn severity are now commonly used by researchers and land managers to assess fire effects, but their relationship to field-based assessments of burn severity has been evaluated only in a few ecosystems. This analysis illustrates two cases in which methodological refinements to field-based and remotely sensed indices of burn severity developed in one location did not show the same improvement when used in a new location. We evaluated three methods of assessing burn severity in the field: the Composite Burn Index (CBI)—a standardized method of assessing burn severity that combines ecologically significant variables related to burn severity into one numeric site index—and two modifications of the CBI that weight the plot CBI score by the percentage cover of each stratum. Unexpectedly, models using the CBI had higher R2 and better classification accuracy than models using the weighted versions of the CBI. We suggest that the weighted versions of the CBI have lower accuracies because weighting by percentage cover decreases the influence of the dominant tree stratum, which should have the strongest relationship to optically sensed reflectance, and increases the influence of the substrates strata, which should have the weakest relationship with optically sensed reflectance in forested ecosystems. Using a large data set of CBI plots (n = 251) from four fires and CBI scores derived from additional field-based assessments of burn severity (n = 388), we predicted two metrics of image-based burn severity, the Relative differenced Normalized Burn Ratio (RdNBR) and the differenced Normalized Burn Ratio (dNBR). Predictive models for RdNBR showed slightly better classification accuracy than for dNBR (overall accuracy = 62%, Kappa = 0.40, and overall accuracy = 59%, Kappa= 0.36, respectively), whereas dNBR had slightly better explanatory power, but strong differences were not apparent. RdNBR may provide little or no improvement over dNBR in systems where pre-fire reflectance is not highly variable, but may be more appropriate for comparing burn severity among regions.","C. Alina Cansler,C. Alina Cansler,Donald McKenzie,Donald McKenzie,Donald McKenzie",Remote Sensing,2012
10.1007/s10021-004-0042-x,,,Effects of Soil Burn Severity on Post-Fire Tree Recruitment in Boreal Forest,"Fire, which is the dominant disturbance in the boreal forest, creates substantial heterogeneity in soil burn severity at patch and landscape scales. We present results from five field experiments in Yukon Territory, Canada, and Alaska, USA that document the effects of soil burn severity on the germination and establishment of four common boreal trees: Picea glauca, Picea mariana, Pinus contorta subsp. latifolia, and Populus tremuloides. Burn severity had strong positive effects on seed germination and net seedling establishment after 3 years. Growth of transplanted seedlings was also significantly higher on severely burned soils. Our data and a synthesis of the literature indicated a consistent, steep decline in conifer establishment on organic soils at depths greater than 2.5 cm. A meta-analysis of seedling responses found no difference in the magnitude of severity effects on germination versus net establishment. There were, however, significant differences in establishment but not germination responses among deciduous trees, spruce, and pine, suggesting that small-seeded species experience greater mortality on lightly burned, organic soils than large-seeded species. Together, our analyses indicate that variations in burn severity can influence multiple aspects of forest stand structure, by affecting the density and composition of tree seedlings that establish after fire. These effects are predicted to be most important in moderately-drained forest stands, where a high potential variability in soil burn severity is coupled with strong severity effects on tree recruitment.","Jill F. Johnstone,Jill F. Johnstone,F. Stuart Chapin,F. Stuart Chapin",Ecosystems,2006
10.1016/j.foreco.2010.08.002,,,"Assessing the effects of initial soil characteristics, machine mass and traffic intensity on forest soil compaction","Abstract   An extensive field trial was set up in eight forest stands to examine the influence of soil texture (two stands on sand, four on loam to silt loam, two on clay), machine mass (light, heavy) and traffic intensity (one and five skidding cycles) (i.e. pass back and forth on the skid trail) on soil compaction after mechanized harvesting. Dry bulk density (BD), penetration resistance (PR), micro-topography and soil carbon dioxide (CO2) concentration were applied as response variables for soil compaction. Significant effects on BD were nearly absent (  In contrast with BD and PR, soil CO2 concentration, measured in a forest stand on sand, showed significant increases within and between wheel tracks, even after one skidding cycle. Although soil compaction degrees were small to negligible, machine passes apparently had a strong negative impact on pore continuity. CO2 concentration seems to be a more sensitive and thus better indicator for soil compaction.","Evy Ampoorter,Evy Ampoorter,Lotte Van Nevel,L. Van Nevel,Bruno De Vos,B. De Vos,Martin Hermy,Martin Hermy,Kris Verheyen,Kris Verheyen",Forest Ecology and Management,2010
10.5194/hess-18-3623-2014,,,Evaluating digital terrain indices for soil wetness mapping – a Swedish case study,"Trafficking wet soils within and near stream and lake buffers can cause soil disturbances, i.e. rutting and compaction. This – in turn – can lead to increased surface flow, thereby facilitating the leaking of unwanted substances into downstream environments. Wet soils in mires, near streams and lakes have particularly low bearing capacity and are therefore more susceptible to rutting. It is therefore important to model and map the extent of these areas and associated wetness variations. This can now be done with adequate reliability using a high-resolution digital elevation model (DEM). In this article, we report on several digital terrain indices to predict soil wetness by wet-area locations. We varied the resolution of these indices to test what scale produces the best possible wet-areas mapping conformance. We found that topographic wetness index ( T  WI ) and the newly developed cartographic depth-to-water index ( D  TW ) were the best soil wetness predictors. While the  T  WI  derivations were sensitive to scale, the  D  TW  derivations were not and were therefore numerically robust. Since the  D  TW  derivations vary by the area threshold for setting stream flow initiation, we found that the optimal threshold values for permanently wet areas varied by landform within the Krycklan watershed, e.g. 1–2 ha for till-derived landforms versus 8–16 ha for a coarse-textured alluvial floodplain.","Anneli Ågren,Anneli Ågren,William Lidberg,William Lidberg,Monika Strömgren,M. Strömgren,Jae Ogilvie,Jae Ogilvie,Paul A. Arp,Paul A. Arp",Hydrology and Earth System Sciences,2014
10.1071/wf05051,,,Remote sensing of fire severity in the Blue Mountains: influence of vegetation type and inferring fire intensity,"Fire intensity affects ecological and geophysical processes in fire-prone landscapes. We examined the potential for satellite imagery (Satellite Pour l’Observation de la Terre [SPOT2] and Landsat7) to detect and map fire severity patterns in a rugged landscape with variable vegetation near Sydney, Australia. A post-fire, vegetation-based indicator of fire intensity (burnt shrub branch tip diameters, representing the size of fuel consumed) was also used to explore whether fire severity patterns can be used to retrospectively infer patterns of fire intensity. Six severity classes (ranging from unburnt to complete crown consumption) were defined using aerial photograph interpretation and a field assessment across five vegetation types of varying height and complexity (sedge-swamp, heath, woodland, open forest, and tall forest). Using established Normalised Difference Vegetation Index (NDVI) differencing methodology, SPOT2 and Landsat7 imagery yielded similar broad-scale severity patterns across the study area. This was despite differences in image resolution (10 m and 30 m, respectively) and capture dates (2 months and 9 months apart, respectively). However, differences in the total areas mapped for some severity classes were found. In particular, there was reduced differentiation between unburnt and low-severity areas and between crown-scorched and crown-consumed areas when using the Landsat7 data. These differences were caused by fine-scale classification anomalies and were most likely associated with seasonal differences in vegetation condition (associated with time of image capture), post-fire movement of ash, resprouting of vegetation, and low sun elevation. Relationships between field severity class and NDVIdifference values revealed that vegetation type does influence the detection of fire severity using these types of satellite data: regression slopes were greater for woodland, forest, and tall forest data than for sedge-swamp and heath data. The effect of vegetation type on areas mapped in each fire severity class was examined but found to be minimal in the present study due to the uneven distribution of vegetation types in the study area (woodland and open forest cover 86% of the landscape). Field observations of burnt shrub branch tips, which were used as a surrogate for fire intensity, revealed that relationships between fire severity and fire intensity are confounded by vegetation type (mainly height). A method for inferring fire intensity from remotely sensed patterns of fire severity was proposed in which patterns of fire severity and vegetation type are combined.","Kate Hammill,Kate Hammill,Ross A. Bradstock,Ross A. Bradstock",International Journal of Wildland Fire,2006
10.1016/j.foreco.2007.02.037,,,Impact of modern forest vehicles on soil physical properties,,"Rainer Horn,Rainer Horn,J. Vossbrink,J. Vossbrink,Stephan Peth,Stephan Peth,Silvia Jiménez Becker,S. Becker",Forest Ecology and Management,2007
10.1016/j.rse.2006.11.022,,,Burn severity estimation from remotely sensed data: Performance of simulation versus empirical models,,"Angela De Santis,Angela De Santis,Emilio Chuvieco,Emilio Chuvieco",Remote Sensing of Environment,2007
10.1016/j.ejsobi.2009.05.006,,,Compaction of forest soils with heavy logging machinery affects soil bacterial community structure,,"Beat Frey,Beat Frey,Johannes Kremer,Johann Kremer,Andreas Rüdt,Andreas Rüdt,Stéphane Sciacca,Stéphane Sciacca,S. Sciacca,Dietmar Matthies,Dietmar Matthies,Peter Lüscher,Peter Lüscher,Peter Lüscher,Peter Lüscher,Peter Lüscher",European Journal of Soil Biology,2009
10.1080/01431160210144732,,,Influence of fire severity on plant regeneration by means of remote sensing imagery,"In this paper we analyse the interactions between fire severity (plant damage) and plant regeneration after fire by means of remote sensing imagery and a field fire severity map. A severity map was constructed over a large fire (2692 ha) occurring in July 1994 in the Barcelona province (north-east of Spain). Seven severity classes were assigned to the apparent plant damage as a function of burning intensity. Several Landsat TM and MSS images from dates immediately before and after the fire were employed to monitor plant regeneration processes as well as to evaluate the relationship with fire severity observed in situ . Plant regeneration was monitored using NDVI measurements (average class values standardized with neighbour unburned control plots). Pre-fire NDVI measurements were extracted for every plant cover category (7), field fire severity class (7), and spatial cross-tabulation of both layers (33) and compared to post-fire values. NDVI decline due to fire was positively correlated with field fire se...","Ricardo Díaz-Delgado,Ricardo Díaz-Delgado,Francisco Lloret,Francisco Lloret,Xavier Pons,Xavier Pons",International Journal of Remote Sensing,2003
